Year,Industry,Age group,Characteristics,Male Participation Rate (%),Female Participation Rate (%),Difference (%)
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",25 to 54 years,Employment,50.92203170494985,49.094144289873825,1.8278874150760274
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",25 to 54 years,Full-time employment,54.55660708026638,45.49596915527515,9.060637924991234
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",25 to 54 years,Part-time employment,34.249471458773776,92.38900634249471,-58.139534883720934
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",55 years and over,Employment,74.51152304609218,56.452905811623246,18.058617234468933
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",55 years and over,Full-time employment,79.05405405405405,59.15233415233415,19.9017199017199
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",55 years and over,Part-time employment,67.70833333333334,76.04166666666667,-8.333333333333329
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15 to 24 years,Employment,89.74358974358975,37.931034482758626,51.812555260831125
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15 to 24 years,Full-time employment,89.68978102189783,37.636861313868614,52.052919708029215
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15 to 24 years,Part-time employment,83.33333333333333,,
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15 years and over,Employment,92.95387634936212,10.671526706855458,82.28234964250666
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15 years and over,Full-time employment,93.57099939915882,9.69357099939916,83.87742839975967
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15 years and over,Part-time employment,77.08333333333334,83.33333333333334,-6.25
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",25 to 54 years,Employment,93.65171811298778,15.375655212580083,78.2760629004077
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",25 to 54 years,Full-time employment,94.478889873044,13.315618541482138,81.16327133156186
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",25 to 54 years,Part-time employment,,69.56521739130436,
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",55 years and over,Employment,95.66854990583803,,
1976,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",55 years and over,Full-time employment,96.05522682445759,,
1976,Goods-producing sector,15 to 24 years,Employment,76.52448861069885,23.49486997483384,53.02961863586501
1976,Goods-producing sector,15 to 24 years,Full-time employment,77.35475196376758,22.63109475620975,54.723657207557835
1976,Goods-producing sector,15 to 24 years,Part-time employment,74.13742690058479,43.82309941520467,30.31432748538011
1976,Goods-producing sector,15 years and over,Employment,80.45032483906375,19.549675160936246,60.90064967812751
1976,Goods-producing sector,15 years and over,Full-time employment,82.36020572464786,17.636667760946708,64.72353796370115
1976,Goods-producing sector,15 years and over,Part-time employment,45.072463768115945,55.04347826086957,-9.971014492753625
1976,Goods-producing sector,25 to 54 years,Employment,80.81529301731415,19.18698816068618,61.62830485662796
1976,Goods-producing sector,25 to 54 years,Full-time employment,83.02693761814744,16.97069943289225,66.0562381852552
1976,Goods-producing sector,25 to 54 years,Part-time employment,28.628005657708627,81.12211221122111,-52.49410655351248
1976,Goods-producing sector,55 years and over,Employment,86.02868447082096,15.341246290801186,70.68743818001978
1976,Goods-producing sector,55 years and over,Full-time employment,87.96222399574354,13.197658951848895,74.76456504389465
1976,Goods-producing sector,55 years and over,Part-time employment,60.07130124777185,58.02139037433155,2.0499108734402967
1976,Health care and social assistance [62],15 to 24 years,Employment,16.220061655205118,83.6850841830685,-67.46502252786338
1976,Health care and social assistance [62],15 to 24 years,Full-time employment,16.80372148859544,84.6638655462185,-67.86014405762306
1976,Health care and social assistance [62],15 to 24 years,Part-time employment,49.00681044267878,80.36322360953463,-31.35641316685585
1976,Health care and social assistance [62],15 years and over,Employment,24.23135080645162,75.75604838709678,-51.52469758064517
1976,Health care and social assistance [62],15 years and over,Full-time employment,27.42874655225253,72.57891510879558,-45.15016855654305
1976,Health care and social assistance [62],15 years and over,Part-time employment,16.377171215880892,90.42892591279687,-74.05175469691598
1976,Health care and social assistance [62],25 to 54 years,Employment,25.871766029246345,74.09755598731978,-48.225789958073435
1976,Health care and social assistance [62],25 to 54 years,Full-time employment,30.494976721391815,69.49277137956383,-38.99779465817202
1976,Health care and social assistance [62],25 to 54 years,Part-time employment,14.294554455445546,97.40099009900992,-83.10643564356437
1976,Health care and social assistance [62],55 years and over,Employment,33.56419818859883,72.84496537027171,-39.28076718167288
1976,Health care and social assistance [62],55 years and over,Full-time employment,37.1868978805395,68.74116891457932,-31.55427103403982
1976,Health care and social assistance [62],55 years and over,Part-time employment,57.00325732899023,97.6655808903366,-40.66232356134637
1976,"Information, culture and recreation [51, 71]",15 to 24 years,Employment,47.22222222222222,52.73504273504274,-5.512820512820518
1976,"Information, culture and recreation [51, 71]",15 to 24 years,Full-time employment,50.33256880733944,54.24311926605504,-3.9105504587155977
1976,"Information, culture and recreation [51, 71]",15 to 24 years,Part-time employment,71.91119691119691,65.3957528957529,6.515444015444004
1976,"Information, culture and recreation [51, 71]",15 years and over,Employment,57.58580905682147,42.42861263340064,15.157196423420828
1976,"Information, culture and recreation [51, 71]",15 years and over,Full-time employment,61.23151014791882,38.73409012727899,22.49742002063983
1976,"Information, culture and recreation [51, 71]",15 years and over,Part-time employment,58.92857142857143,61.51785714285714,-2.589285714285708
1976,"Information, culture and recreation [51, 71]",25 to 54 years,Employment,63.02307887395384,36.951559726096875,26.071519147856968
1976,"Information, culture and recreation [51, 71]",25 to 54 years,Full-time employment,67.79469825155104,35.39481105470952,32.39988719684152
1976,"Information, culture and recreation [51, 71]",25 to 54 years,Part-time employment,84.5360824742268,99.65635738831615,-15.12027491408935
1976,"Information, culture and recreation [51, 71]",55 years and over,Employment,66.94358578052551,63.43122102009274,3.5123647604327672
1976,"Information, culture and recreation [51, 71]",55 years and over,Full-time employment,84.47563996696944,75.72254335260114,8.753096614368303
1976,"Information, culture and recreation [51, 71]",55 years and over,Part-time employment,86.27450980392156,86.27450980392155,1.4210854715202004e-14
1976,Manufacturing [31-33],15 to 24 years,Employment,69.08662477558349,30.902154398563734,38.18447037701975
1976,Manufacturing [31-33],15 to 24 years,Full-time employment,69.41523922031897,30.572947430596574,38.842291789722395
1976,Manufacturing [31-33],15 to 24 years,Part-time employment,74.54117647058823,67.76470588235294,6.776470588235284
1976,Manufacturing [31-33],15 years and over,Employment,74.81594927185769,25.184050728142292,49.631898543715394
1976,Manufacturing [31-33],15 years and over,Full-time employment,75.78075383128538,24.21924616871462,51.56150766257076
1976,Manufacturing [31-33],15 years and over,Part-time employment,62.97773346626785,66.35648609726375,-3.378752630995905
1976,Manufacturing [31-33],25 to 54 years,Employment,75.69641025641025,24.307692307692307,51.38871794871794
1976,Manufacturing [31-33],25 to 54 years,Full-time employment,76.79763096429762,23.206539873206538,53.59109109109109
1976,Manufacturing [31-33],25 to 54 years,Part-time employment,30.23872679045092,90.71618037135278,-60.47745358090186
1976,Manufacturing [31-33],55 years and over,Employment,82.29908443540185,27.33614300247057,54.96294143293128
1976,Manufacturing [31-33],55 years and over,Full-time employment,83.60264900662251,34.61721854304635,48.985430463576165
1976,Manufacturing [31-33],55 years and over,Part-time employment,62.86764705882353,66.17647058823529,-3.308823529411761
1976,Other services (except public administration) [81],15 to 24 years,Employment,48.38095238095238,55.84415584415584,-7.463203463203463
1976,Other services (except public administration) [81],15 to 24 years,Full-time employment,60.16394571881244,50.46497210167391,9.698973617138535
1976,Other services (except public administration) [81],15 to 24 years,Part-time employment,49.09003831417625,75.6704980842912,-26.58045977011495
1976,Other services (except public administration) [81],15 years and over,Employment,54.35801312089972,45.66541705716964,8.692596063730079
1976,Other services (except public administration) [81],15 years and over,Full-time employment,62.84063981042654,37.17417061611374,25.666469194312796
1976,Other services (except public administration) [81],15 years and over,Part-time employment,30.36715246636771,77.57847533632287,-47.211322869955154
1976,Other services (except public administration) [81],25 to 54 years,Employment,58.89026402640264,41.00660066006601,17.883663366336627
1976,Other services (except public administration) [81],25 to 54 years,Full-time employment,68.08510638297872,31.939349474199076,36.145756908779646
1976,Other services (except public administration) [81],25 to 54 years,Part-time employment,52.17391304347827,98.69565217391305,-46.521739130434774
1976,Other services (except public administration) [81],55 years and over,Employment,55.62817719680465,53.078350681836504,2.549826514968146
1976,Other services (except public administration) [81],55 years and over,Full-time employment,62.797335870599426,49.5837297811608,13.213606089438628
1976,Other services (except public administration) [81],55 years and over,Part-time employment,59.59595959595959,133.33333333333334,-73.73737373737376
1976,"Professional, scientific and technical services [54]",15 to 24 years,Employment,47.9581589958159,68.73082287308229,-20.77266387726639
1976,"Professional, scientific and technical services [54]",15 to 24 years,Full-time employment,47.7910174152154,68.78500865668602,-20.993991241470617
1976,"Professional, scientific and technical services [54]",15 to 24 years,Part-time employment,67.6056338028169,81.69014084507043,-14.084507042253534
1976,"Professional, scientific and technical services [54]",15 years and over,Employment,62.7870150435471,40.84718923198732,21.93982581155978
1976,"Professional, scientific and technical services [54]",15 years and over,Full-time employment,66.55006558810669,36.69873196327067,29.851333624836023
1976,"Professional, scientific and technical services [54]",15 years and over,Part-time employment,65.89958158995816,81.43305439330545,-15.533472803347294
1976,"Professional, scientific and technical services [54]",25 to 54 years,Employment,68.27545615067686,38.73847361192858,29.536982538748276
1976,"Professional, scientific and technical services [54]",25 to 54 years,Full-time employment,73.19257837492002,32.64733063197555,40.54524774294447
1976,"Professional, scientific and technical services [54]",25 to 54 years,Part-time employment,38.095238095238095,103.80952380952382,-65.71428571428572
1976,"Professional, scientific and technical services [54]",55 years and over,Employment,80.62962962962963,71.55555555555554,9.07407407407409
1976,"Professional, scientific and technical services [54]",55 years and over,Full-time employment,123.23943661971832,57.183098591549296,66.05633802816902
1976,"Professional, scientific and technical services [54]",55 years and over,Part-time employment,70.58823529411764,73.52941176470587,-2.941176470588232
1976,Public administration [91],15 to 24 years,Employment,48.22120464952448,51.673124339556175,-3.451919690031694
1976,Public administration [91],15 to 24 years,Full-time employment,48.250098309083754,51.74990169091623,-3.4998033818324785
1976,Public administration [91],15 to 24 years,Part-time employment,74.375,100.83333333333333,-26.45833333333333
1976,Public administration [91],15 years and over,Employment,67.43951612903226,32.560483870967744,34.87903225806451
1976,Public administration [91],15 years and over,Full-time employment,69.00302608980124,30.988795289114258,38.01423080068698
1976,Public administration [91],15 years and over,Part-time employment,52.687941743414015,68.13260036648342,-15.444658623069401
1976,Public administration [91],25 to 54 years,Employment,71.56138259833135,28.426698450536357,43.13468414779499
1976,Public administration [91],25 to 54 years,Full-time employment,73.36529006882988,26.634709931170107,46.73058013765977
1976,Public administration [91],25 to 54 years,Part-time employment,51.63934426229508,105.00000000000003,-53.360655737704946
1976,Public administration [91],55 years and over,Employment,79.25659472422062,27.615407673860908,51.64118705035971
1976,Public administration [91],55 years and over,Full-time employment,80.36175710594316,32.80577088716623,47.55598621877692
1976,Public administration [91],55 years and over,Part-time employment,114.89361702127663,89.3617021276596,25.531914893617028
1976,Services-producing sector,15 to 24 years,Employment,44.360731242714586,55.63926875728542,-11.278537514570836
1976,Services-producing sector,15 to 24 years,Full-time employment,44.89156905949205,55.112296571185595,-10.220727511693546
1976,Services-producing sector,15 to 24 years,Part-time employment,42.895528804815136,57.09372312983664,-14.198194325021504
1976,Services-producing sector,15 years and over,Employment,53.59125552802434,46.40639212119311,7.184863406831234
1976,Services-producing sector,15 years and over,Full-time employment,58.73614315457768,41.26479470298051,17.471348451597173
1976,Services-producing sector,15 years and over,Part-time employment,27.349691490888222,72.64552542210744,-45.29583393121922
1976,Services-producing sector,25 to 54 years,Employment,56.320150513524304,43.675983556912925,12.644166956611379
1976,Services-producing sector,25 to 54 years,Full-time employment,62.54181090516045,37.4640316667397,25.077779238420753
1976,Services-producing sector,25 to 54 years,Part-time employment,9.71872605888147,90.27032942979096,-80.55160337090949
1976,Services-producing sector,55 years and over,Employment,61.245510605136545,38.754489394863455,22.49102121027309
1976,Services-producing sector,55 years and over,Full-time employment,66.72632606573382,33.28180930686626,33.44451675886756
1976,Services-producing sector,55 years and over,Part-time employment,37.33576642335767,72.44120032441201,-35.10543390105434
1976,"Total, all industries",15 to 24 years,Employment,54.191664035364695,45.80636248815914,8.385301547205557
1976,"Total, all industries",15 to 24 years,Full-time employment,56.36140903522588,43.638590964774124,12.722818070451758
1976,"Total, all industries",15 to 24 years,Part-time employment,46.07815574922687,53.92184425077312,-7.8436885015462465
1976,"Total, all industries",15 years and over,Employment,62.8810612006217,37.11996470871869,25.76109649190301
1976,"Total, all industries",15 years and over,Full-time employment,67.595181570386,32.404818429614004,35.190363140772
1976,"Total, all industries",15 years and over,Part-time employment,29.851787987026324,70.1400008211192,-40.288212834092874
1976,"Total, all industries",25 to 54 years,Employment,65.16271945716262,34.83645706380315,30.32626239335947
1976,"Total, all industries",25 to 54 years,Full-time employment,70.36602428126551,29.63307306945886,40.73295121180665
1976,"Total, all industries",25 to 54 years,Part-time employment,11.061032863849766,88.96713615023475,-77.90610328638499
1976,"Total, all industries",55 years and over,Employment,70.01269535525107,29.978549227334423,40.03414612791664
1976,"Total, all industries",55 years and over,Full-time employment,74.78418900499774,25.21581099500227,49.56837800999547
1976,"Total, all industries",55 years and over,Part-time employment,42.63678312458801,61.107448912326966,-18.47066578773896
1976,Transportation and warehousing [48-49],15 to 24 years,Employment,78.94979272224782,37.66313526792568,41.28665745432214
1976,Transportation and warehousing [48-49],15 to 24 years,Full-time employment,80.39114770972722,35.10036026762738,45.29078744209984
1976,Transportation and warehousing [48-49],15 to 24 years,Part-time employment,107.61904761904763,80.0,27.619047619047635
1976,Transportation and warehousing [48-49],15 years and over,Employment,84.82642280031963,15.173577199680368,69.65284560063927
1976,Transportation and warehousing [48-49],15 years and over,Full-time employment,88.16966432624797,11.849571991920747,76.32009233432723
1976,Transportation and warehousing [48-49],15 years and over,Part-time employment,54.026651216685984,61.41367323290846,-7.387022016222474
1976,Transportation and warehousing [48-49],25 to 54 years,Employment,85.8528910449718,14.14710895502819,71.70578208994361
1976,Transportation and warehousing [48-49],25 to 54 years,Full-time employment,89.58041958041957,11.415384615384614,78.16503496503496
1976,Transportation and warehousing [48-49],25 to 54 years,Part-time employment,62.05263157894737,77.6842105263158,-15.631578947368425
1976,Transportation and warehousing [48-49],55 years and over,Employment,88.31967213114751,23.142076502732237,65.17759562841528
1976,Transportation and warehousing [48-49],55 years and over,Full-time employment,91.95402298850574,20.79182630906769,71.16219667943805
1976,Transportation and warehousing [48-49],55 years and over,Part-time employment,84.52380952380952,59.523809523809526,24.999999999999993
1976,Utilities [22],15 to 24 years,Employment,75.74491785018101,58.4795321637427,17.265385686438314
1976,Utilities [22],15 to 24 years,Full-time employment,75.97829191659527,58.26906598114825,17.709225935447016
1976,Utilities [22],15 years and over,Employment,86.65148063781321,20.18874064432151,66.4627399934917
1976,Utilities [22],15 years and over,Full-time employment,87.42487286176606,19.107060299848094,68.31781256191798
1976,Utilities [22],15 years and over,Part-time employment,,,
1976,Utilities [22],25 to 54 years,Employment,89.59948320413437,21.15633074935401,68.44315245478036
1976,Utilities [22],25 to 54 years,Full-time employment,90.29315960912055,25.1900108577633,65.10314875135725
1976,Utilities [22],55 years and over,Employment,128.11158798283262,,
1976,Utilities [22],55 years and over,Full-time employment,129.42477876106193,,
1976,"Wholesale and retail trade [41, 44-45]",15 to 24 years,Employment,55.57122708039491,44.447578749412315,11.123648330982597
1976,"Wholesale and retail trade [41, 44-45]",15 to 24 years,Full-time employment,60.09515313707998,39.86024382991377,20.234909307166212
1976,"Wholesale and retail trade [41, 44-45]",15 to 24 years,Part-time employment,47.73715162362567,52.288417284581946,-4.551265660956275
1976,"Wholesale and retail trade [41, 44-45]",15 years and over,Employment,57.916003818008264,42.08399618199173,15.832007636016534
1976,"Wholesale and retail trade [41, 44-45]",15 years and over,Full-time employment,65.83906915765323,34.16093084234677,31.678138315306455
1976,"Wholesale and retail trade [41, 44-45]",15 years and over,Part-time employment,30.343158194503772,69.61412501779867,-39.2709668232949
1976,"Wholesale and retail trade [41, 44-45]",25 to 54 years,Employment,58.69956458635704,41.306240928882445,17.393323657474596
1976,"Wholesale and retail trade [41, 44-45]",25 to 54 years,Full-time employment,67.98478054083436,31.99483625492594,35.98994428590842
1976,"Wholesale and retail trade [41, 44-45]",25 to 54 years,Part-time employment,22.807017543859647,95.85326953748007,-73.04625199362043
1976,"Wholesale and retail trade [41, 44-45]",55 years and over,Employment,61.09396914446003,38.90603085553997,22.187938288920066
1976,"Wholesale and retail trade [41, 44-45]",55 years and over,Full-time employment,68.14039824502194,31.92710091123861,36.21329733378333
1976,"Wholesale and retail trade [41, 44-45]",55 years and over,Part-time employment,75.17965726920951,90.58872305140963,-15.409065782200116
1977,Accommodation and food services [72],15 to 24 years,Employment,38.40361445783132,61.596385542168676,-23.19277108433736
1977,Accommodation and food services [72],15 to 24 years,Full-time employment,42.488800398208056,61.12493777999004,-18.636137381781985
1977,Accommodation and food services [72],15 to 24 years,Part-time employment,46.24290451301073,68.04754678806273,-21.804642275052004
1977,Accommodation and food services [72],15 years and over,Employment,41.26639921934295,58.72275832158734,-17.45635910224439
1977,Accommodation and food services [72],15 years and over,Full-time employment,46.533546325878596,53.45047923322683,-6.916932907348233
1977,Accommodation and food services [72],15 years and over,Part-time employment,36.67079161510481,69.9628754640567,-33.29208384895188
1977,Accommodation and food services [72],25 to 54 years,Employment,43.50168350168351,56.56565656565656,-13.063973063973052
1977,Accommodation and food services [72],25 to 54 years,Full-time employment,50.28759244042729,49.76718707203506,0.5204053683922325
1977,Accommodation and food services [72],25 to 54 years,Part-time employment,40.689941812136325,87.65586034912718,-46.965918536990856
1977,Accommodation and food services [72],55 years and over,Employment,74.82993197278911,61.594387755102034,13.235544217687078
1977,Accommodation and food services [72],55 years and over,Full-time employment,86.61658319421258,67.02838063439064,19.588202559821937
1977,Accommodation and food services [72],55 years and over,Part-time employment,62.5,89.84375,-27.34375
1977,"Agriculture [111-112, 1100, 1151-1152]",15 to 24 years,Employment,79.22312556458897,28.455284552845523,50.76784101174344
1977,"Agriculture [111-112, 1100, 1151-1152]",15 to 24 years,Full-time employment,84.37917222963952,21.26645050543582,63.1127217242037
1977,"Agriculture [111-112, 1100, 1151-1152]",15 to 24 years,Part-time employment,76.47471910112358,52.078651685393254,24.39606741573033
1977,"Agriculture [111-112, 1100, 1151-1152]",15 years and over,Employment,75.2794068828151,27.156135885802808,48.123270997012284
1977,"Agriculture [111-112, 1100, 1151-1152]",15 years and over,Full-time employment,82.19873730441944,21.6732241437155,60.52551316070394
1977,"Agriculture [111-112, 1100, 1151-1152]",15 years and over,Part-time employment,46.594161419576416,59.467022832792715,-12.872861413216299
1977,"Agriculture [111-112, 1100, 1151-1152]",25 to 54 years,Employment,69.94829369183041,36.57819142824313,33.370102263587285
1977,"Agriculture [111-112, 1100, 1151-1152]",25 to 54 years,Full-time employment,78.9294403892944,25.60421735604217,53.32522303325223
1977,"Agriculture [111-112, 1100, 1151-1152]",25 to 54 years,Part-time employment,37.511606313834726,80.91922005571031,-43.407613741875586
1977,"Agriculture [111-112, 1100, 1151-1152]",55 years and over,Employment,83.8042381432896,25.563403969054832,58.24083417423476
1977,"Agriculture [111-112, 1100, 1151-1152]",55 years and over,Full-time employment,88.28451882845188,21.040047818290496,67.24447101016139
1977,"Agriculture [111-112, 1100, 1151-1152]",55 years and over,Part-time employment,78.45637583892618,56.96308724832214,21.49328859060404
1977,"Business, building and other support services [55, 56]",15 to 24 years,Employment,77.24294354838709,52.41935483870967,24.823588709677416
1977,"Business, building and other support services [55, 56]",15 to 24 years,Full-time employment,80.93278463648832,55.09830818472793,25.834476451760395
1977,"Business, building and other support services [55, 56]",15 to 24 years,Part-time employment,126.8774703557312,100.7905138339921,26.08695652173911
1977,"Business, building and other support services [55, 56]",15 years and over,Employment,63.32938388625593,36.70023696682465,26.629146919431285
1977,"Business, building and other support services [55, 56]",15 years and over,Full-time employment,69.30693069306932,33.8027136046938,35.50421708837552
1977,"Business, building and other support services [55, 56]",15 years and over,Part-time employment,62.98600311041991,69.28460342146191,-6.2986003110420015
1977,"Business, building and other support services [55, 56]",25 to 54 years,Employment,61.43520908621581,46.693053404462795,14.742155681753012
1977,"Business, building and other support services [55, 56]",25 to 54 years,Full-time employment,69.43602183141296,46.98085419734904,22.45516763406392
